,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,tsne1,tsne2,tsne3,tsne_clusters
0,1000014003,ABC HOBBYCRAFT,EVANSVILLE,IN,47711,FIFTH THIRD BANK,OH,451120,28-Feb-97,1997,84,4,2.0,0,0,1,0,N,Y,,28-Feb-99,60000.0,0.0,P I F,0.0,60000.0,48000.0,-11.891781,-0.30525368,-9.809076,0
1,1000024006,LANDMARK BAR & GRILLE (THE),NEW PARIS,IN,46526,1ST SOURCE BANK,IN,722410,28-Feb-97,1997,60,2,2.0,0,0,1,0,N,Y,,31-May-97,40000.0,0.0,P I F,0.0,40000.0,32000.0,-11.251455,-1.4123352,-9.5167675,0
2,1000034009,"WHITLOCK DDS, TODD M.",BLOOMINGTON,IN,47401,GRANT COUNTY STATE BANK,IN,621210,28-Feb-97,1997,180,7,1.0,0,0,1,0,N,N,,31-Dec-97,287000.0,0.0,P I F,0.0,287000.0,215250.0,-0.06450587,-2.9388185,3.0322511,3
3,1000044001,"BIG BUCKS PAWN & JEWELRY, LLC",BROKEN ARROW,OK,74012,1ST NATL BK & TR CO OF BROKEN,OK,0,28-Feb-97,1997,60,2,1.0,0,0,1,0,N,Y,,30-Jun-97,35000.0,0.0,P I F,0.0,35000.0,28000.0,-5.9897027,-0.9893273,14.283846,2
4,1000054004,"ANASTASIA CONFECTIONS, INC.",ORLANDO,FL,32801,FLORIDA BUS. DEVEL CORP,FL,0,28-Feb-97,1997,240,14,1.0,7,7,1,0,N,N,,14-May-97,229000.0,0.0,P I F,0.0,229000.0,229000.0,-2.9583836,0.6709406,-1.4203243,3
5,1000084002,"B&T SCREW MACHINE COMPANY, INC",PLAINVILLE,CT,6062,"TD BANK, NATIONAL ASSOCIATION",DE,332721,28-Feb-97,1997,120,19,1.0,0,0,1,0,N,N,,30-Jun-97,517000.0,0.0,P I F,0.0,517000.0,387750.0,-2.055231,-8.671147,2.0018296,3
6,1000093009,MIDDLE ATLANTIC SPORTS CO INC,UNION,NJ,7083,WELLS FARGO BANK NATL ASSOC,SD,0,2-Jun-80,1980,45,45,2.0,0,0,0,0,N,N,24-Jun-91,22-Jul-80,600000.0,0.0,CHGOFF,208959.0,600000.0,499998.0,-7.111854,8.933756,0.3612294,0
7,1000094005,WEAVER PRODUCTS,SUMMERFIELD,FL,34491,REGIONS BANK,AL,811118,28-Feb-97,1997,84,1,2.0,0,0,1,0,N,Y,,30-Jun-98,45000.0,0.0,P I F,0.0,45000.0,36000.0,-11.111917,-2.0356576,-9.530021,0
8,1000104006,TURTLE BEACH INN,PORT SAINT JOE,FL,32456,CENTENNIAL BANK,FL,721310,28-Feb-97,1997,297,2,2.0,0,0,1,0,N,N,,31-Jul-97,305000.0,0.0,P I F,0.0,305000.0,228750.0,-8.461769,-4.615386,-2.9812825,0
9,1000124001,INTEXT BUILDING SYS LLC,GLASTONBURY,CT,6073,WEBSTER BANK NATL ASSOC,CT,0,28-Feb-97,1997,84,3,2.0,0,0,1,0,N,Y,,30-Apr-97,70000.0,0.0,P I F,0.0,70000.0,56000.0,-14.880492,-2.7730925,0.68358,0
10,1000134004,COMMERCIAL TRUCKING MAINTENANC,CHARLOTTE,NC,28256,SUNTRUST BANK,GA,811111,28-Feb-97,1997,84,1,2.0,0,0,1,0,N,Y,,23-Feb-98,70000.0,0.0,P I F,0.0,70000.0,56000.0,-11.105043,-2.2558677,-9.50034,0
11,1000144007,PROFESSIONAL ELEVATOR SERVICES,CHICAGO,IL,60605,BANK OF AMERICA NATL ASSOC,OR,235950,28-Feb-97,1997,60,24,1.0,0,0,1,0,N,N,,30-Nov-97,150000.0,0.0,P I F,0.0,300000.0,225000.0,-3.662341,-0.052506793,11.581923,2
12,1000146010,CARVEL,APEX,NC,27502,STEARNS BK NATL ASSOC,MN,445299,7-Feb-06,2006,162,2,2.0,0,0,15100,1,N,N,,31-Mar-06,253400.0,0.0,P I F,0.0,253400.0,190050.0,-0.41673407,-5.306621,-8.364605,4
13,1000154010,"ORCHARD CAFE & BAKERY, INC.",SLATERSVILLE,RI,2876,CITIZENS BANK NATL ASSOC,RI,0,28-Feb-97,1997,120,2,2.0,0,0,1,0,N,N,,31-May-97,370000.0,0.0,P I F,0.0,370000.0,277500.0,-12.1984415,-3.0480957,0.8379787,0
