,Unnamed: 0,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,tsne1,tsne2,tsne3,tsne_clusters
0,0,1000014003,ABC HOBBYCRAFT,EVANSVILLE,IN,47711,FIFTH THIRD BANK,OH,451120,28-Feb-97,1997,84,4,2.0,0,0,1,0,N,Y,,28-Feb-99,60000.0,0.0,P I F,0.0,60000.0,48000.0,-13.023423,-0.4139643,-1.8699182,4
1,1,1000024006,LANDMARK BAR & GRILLE (THE),NEW PARIS,IN,46526,1ST SOURCE BANK,IN,722410,28-Feb-97,1997,60,2,2.0,0,0,1,0,N,Y,,31-May-97,40000.0,0.0,P I F,0.0,40000.0,32000.0,-12.405062,0.19131176,-1.7435883,4
2,2,1000034009,"WHITLOCK DDS, TODD M.",BLOOMINGTON,IN,47401,GRANT COUNTY STATE BANK,IN,621210,28-Feb-97,1997,180,7,1.0,0,0,1,0,N,N,,31-Dec-97,287000.0,0.0,P I F,0.0,287000.0,215250.0,-1.5091139,-2.7764144,3.3582704,3
3,3,1000044001,"BIG BUCKS PAWN & JEWELRY, LLC",BROKEN ARROW,OK,74012,1ST NATL BK & TR CO OF BROKEN,OK,0,28-Feb-97,1997,60,2,1.0,0,0,1,0,N,Y,,30-Jun-97,35000.0,0.0,P I F,0.0,35000.0,28000.0,1.0047857,-0.42935234,11.311578,1
4,4,1000054004,"ANASTASIA CONFECTIONS, INC.",ORLANDO,FL,32801,FLORIDA BUS. DEVEL CORP,FL,0,28-Feb-97,1997,240,14,1.0,7,7,1,0,N,N,,14-May-97,229000.0,0.0,P I F,0.0,229000.0,229000.0,5.146506,-10.0688,-1.3257546,3
5,5,1000084002,"B&T SCREW MACHINE COMPANY, INC",PLAINVILLE,CT,6062,"TD BANK, NATIONAL ASSOCIATION",DE,332721,28-Feb-97,1997,120,19,1.0,0,0,1,0,N,N,,30-Jun-97,517000.0,0.0,P I F,0.0,517000.0,387750.0,0.3733394,-8.499608,5.350641,3
6,6,1000093009,MIDDLE ATLANTIC SPORTS CO INC,UNION,NJ,7083,WELLS FARGO BANK NATL ASSOC,SD,0,2-Jun-80,1980,45,45,2.0,0,0,0,0,N,N,24-Jun-91,22-Jul-80,600000.0,0.0,CHGOFF,208959.0,600000.0,499998.0,-7.2736163,8.434062,1.9132327,4
7,7,1000094005,WEAVER PRODUCTS,SUMMERFIELD,FL,34491,REGIONS BANK,AL,811118,28-Feb-97,1997,84,1,2.0,0,0,1,0,N,Y,,30-Jun-98,45000.0,0.0,P I F,0.0,45000.0,36000.0,-11.969444,0.30919755,-1.8582126,4
8,8,1000104006,TURTLE BEACH INN,PORT SAINT JOE,FL,32456,CENTENNIAL BANK,FL,721310,28-Feb-97,1997,297,2,2.0,0,0,1,0,N,N,,31-Jul-97,305000.0,0.0,P I F,0.0,305000.0,228750.0,-7.257666,-3.4034655,-0.02434538,4
9,9,1000124001,INTEXT BUILDING SYS LLC,GLASTONBURY,CT,6073,WEBSTER BANK NATL ASSOC,CT,0,28-Feb-97,1997,84,3,2.0,0,0,1,0,N,Y,,30-Apr-97,70000.0,0.0,P I F,0.0,70000.0,56000.0,-13.383621,-5.4141846,-3.363468,4
10,10,1000134004,COMMERCIAL TRUCKING MAINTENANC,CHARLOTTE,NC,28256,SUNTRUST BANK,GA,811111,28-Feb-97,1997,84,1,2.0,0,0,1,0,N,Y,,23-Feb-98,70000.0,0.0,P I F,0.0,70000.0,56000.0,-11.8287,0.31111878,-1.9253598,4
